Data,Ano,Mes,Dia,Mes_Nome,Mes_Nome_Completo,Ano_Mes,Ano_Mes_Label,Dia_Semana,Dia_Semana_Abrev,Dia_Semana_Num,Semana_ISO,Semana_Inicio,Semana_Label,Loja,Canal,Valor
2025-01-03,2025,1,3,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,1,2024-12-30,30/12 - 05/01/2025,TATUAPÉ,DELIVERY,862.53
2025-01-03,2025,1,3,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,1,2024-12-30,30/12 - 05/01/2025,VILA MADALENA,CASA,4686.86
2025-01-03,2025,1,3,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,1,2024-12-30,30/12 - 05/01/2025,VILA MADALENA,DELIVERY,288.3
2025-01-03,2025,1,3,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,1,2024-12-30,30/12 - 05/01/2025,VILA MARIANA,CASA,8138.95
2025-01-03,2025,1,3,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,1,2024-12-30,30/12 - 05/01/2025,VILA MARIANA,DELIVERY,1471.5
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,CARINAS,CASA,63843.89
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,CARINAS,DELIVERY,1748.9
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,CHÁCARA,CASA,14673.34
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,LAPA,CASA,31533.5
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,LAPA,DELIVERY,2089.5
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,PAVÃO,CASA,17258.31
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,PAVÃO,DELIVERY,2304.47
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,PERDIZES,CASA,12032.34
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,SANTANA,CASA,46577.98
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,SANTANA,DELIVERY,3096.8
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,SANTO ANDRÉ,CASA,53432.17
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,SANTO ANDRÉ,DELIVERY,937.2
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,TATUAPÉ,CASA,41364.21
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,TATUAPÉ,DELIVERY,3022.05
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,VILA MADALENA,CASA,33170.64
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,VILA MARIANA,CASA,39723.62
2025-01-04,2025,1,4,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,1,2024-12-30,30/12 - 05/01/2025,VILA MARIANA,DELIVERY,1960.0
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,CARINAS,CASA,37188.81
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,CARINAS,DELIVERY,3338.2
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,CHÁCARA,CASA,10211.87
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,CHÁCARA,DELIVERY,4464.0
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,LAPA,CASA,13841.38
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,LAPA,DELIVERY,2865.9
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,PAVÃO,CASA,8753.21
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,PAVÃO,DELIVERY,2187.8
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,PERDIZES,CASA,28688.31
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,PERDIZES,DELIVERY,1165.7
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,SANTANA,CASA,27583.21
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,SANTANA,DELIVERY,3991.0
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,SANTO ANDRÉ,CASA,21498.36
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,SANTO ANDRÉ,DELIVERY,1025.5
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,TATUAPÉ,CASA,17604.91
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,TATUAPÉ,DELIVERY,3259.91
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,VILA MADALENA,CASA,12034.64
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,VILA MARIANA,CASA,25403.75
2025-01-05,2025,1,5,Jan,Janeiro,2025-01,Jan/2025,Domingo,Dom,7,1,2024-12-30,30/12 - 05/01/2025,VILA MARIANA,DELIVERY,201.1
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,CARINAS,CASA,11807.18
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,CARINAS,DELIVERY,783.0
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,CASA,2046.65
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,DELIVERY,1342.7
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,LAPA,CASA,6477.18
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,LAPA,DELIVERY,529.1
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,CASA,2252.81
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,DELIVERY,1171.69
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,CASA,6747.52
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,DELIVERY,783.1
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,SANTANA,CASA,9421.67
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,SANTANA,DELIVERY,743.5
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,CASA,11552.35
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,DELIVERY,924.33
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,VILA MADALENA,CASA,8125.44
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,CASA,6436.97
2025-01-07,2025,1,7,Jan,Janeiro,2025-01,Jan/2025,Terça,Ter,2,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,DELIVERY,1159.0
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,CARINAS,CASA,8121.58
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,CARINAS,DELIVERY,765.8
2025-01-08,2025,1,8,Jan,Janeiro,2025-01,Jan/2025,Quarta,Qua,3,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,CASA,2927.47
